id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,20.6102,24.7915,150.8347,220.2900,25.6168,207.8206,261.8933,221.6706,78.5555,53.6223
prefixed,25.1712,25.4016,75.0019,186.5966,25.7787,149.2196,261.9813,198.5428,86.8862,63.8878
random,16.0969,15.4329,31.6798,146.6308,25.4971,62.5966,259.7320,150.9528,87.1530,63.8503
sequential,12.5302,14.2225,134.7880,223.8668,25.5253,156.4788,263.7694,233.3196,70.0498,23.5922
