id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,699329.7883,917732.2099,2809387.4439,3862264.8548,1746878.1913,3693577.9602,9311968.9244,3778639.3454,1749463.1561,1753990.2598
prefixed,1086640.4371,1130357.8071,1974376.8221,3278022.4565,1755774.7683,2922660.7747,9303547.9361,3598130.0011,2295707.5733,1650057.2201
random,1365702.4880,1409128.4406,2002274.4702,2811497.5114,1743259.8464,1938482.0508,9228855.3808,3226122.4460,3224940.8767,2290703.9922
sequential,371755.3865,455433.2184,2342602.8995,3751277.8754,1734333.5836,2715801.3240,9400378.8270,3870642.7315,2673072.3730,918102.1720
