id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,0.0000,0.0000,2217.8000,0.0000,1754.2000,0.0000,3674.8000,0.0000,0.0000,0.0000
prefixed,0.0000,0.0000,5079.6000,0.0000,1787.4000,866.0000,3608.6000,0.0000,0.0000,0.0000
random,0.0000,0.0000,5041.0000,0.0000,1727.2000,855.4000,3496.4000,0.0000,0.0000,0.0000
sequential,0.0000,0.0000,3.0000,0.0000,1734.8000,1.0000,3521.0000,2.0000,0.0000,0.0000
