id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,2675.8885,3557.9270,11223.0103,15467.0073,6986.4775,14753.9412,29789.9730,15091.9475,6067.3230,4158.9298
prefixed,4199.8605,4420.9023,7861.8182,13093.1768,7004.5735,11664.2600,29807.0670,14369.2025,9156.7875,6581.7115
random,5258.4102,5442.4490,7985.1343,11232.1077,6949.0830,7750.1042,29586.6570,12882.0150,12870.2055,9160.4710
sequential,1441.3912,1752.7477,9358.7463,15000.1848,6949.7195,10851.4850,30003.5070,15465.8175,5344.5387,1835.5275
