id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,1895.5116,1416.2662,450.4673,324.9304,715.6807,339.0823,167.8460,331.3100,698.5067,375.2330
prefixed,1190.7488,1131.1868,636.0639,381.8908,713.8276,428.6661,167.7548,347.9664,546.0476,759.6927
random,950.8839,918.7525,626.1700,445.1535,719.6223,645.1596,169.0150,388.1380,388.4992,545.8289
sequential,3468.8708,2864.0665,534.2596,333.3442,719.5087,460.7664,166.6634,323.2936,0.0000,0.0000
