id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,7.7834,5.1990,0.7373,0.8729,1.7055,1.0002,0.0983,0.9919,0.4015,0.6620
prefixed,5.3719,5.0670,1.1136,1.1951,1.6969,1.5858,0.0982,0.9919,0.3453,0.5488
random,5.4219,5.2479,1.1198,1.1879,1.7302,1.5822,0.0990,0.9919,0.3434,0.5494
sequential,15.8730,12.8568,0.8761,1.1096,1.7282,2.9976,0.0972,0.9938,0.4994,1.4975
