id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,667.8000,974.6000,6878.2000,5858.8000,2932.0000,4999.0000,50846.4000,5041.0000,12454.8000,7552.6000
prefixed,931.4000,991.0000,4490.6000,4184.4000,2946.8000,3153.0000,50932.6000,5041.0000,14480.0000,9112.0000
random,922.4000,955.0000,4465.4000,4209.2000,2892.4000,3160.4000,50533.6000,5041.0000,14560.8000,9101.2000
sequential,315.0000,397.8000,5707.0000,4506.8000,2894.6000,1668.0000,51426.6000,5031.0000,10012.0000,3339.0000
