id_distribution,BGCT,BGCT_Random,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
dispersed,121.3976,150.0000,483.2815,87.3880,144.0250,30.0875,274.7085,242.0257,75.6834,76.4512
prefixed,125.8686,132.5423,390.9956,74.0742,144.0902,51.5612,274.9843,395.6133,110.6329,112.1163
random,225.3130,232.8164,851.3760,141.8298,144.0371,99.5560,273.7075,857.4674,206.6395,208.1182
sequential,37.9936,49.7107,56.9776,25.7335,144.0832,16.6844,276.5651,59.3488,41.0000,41.0000
