ber,FHS_RAC,HT_EEAC
0.0000,62.7266,263.2934
0.0000,62.5726,258.6742
0.0001,62.3829,264.4453
0.0001,62.6635,260.1650
0.0005,62.5504,259.4821
0.0008,62.6211,260.1878
0.0010,62.5626,262.8525
