ber,FHS_RAC,HT_EEAC
0.0000,0.5535,0.0836
0.0000,0.5547,0.0851
0.0001,0.5566,0.0832
0.0001,0.5541,0.0846
0.0005,0.5550,0.0848
0.0008,0.5544,0.0846
0.0010,0.5551,0.0837
