ber,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
0.0000,7.0000,9.0000,19.0000,14.0000,24.0000,15.0000
0.0000,7.0000,9.0000,20.0000,15.0000,23.0000,15.0000
0.0001,7.0000,9.0000,17.0000,15.0000,27.0000,14.0000
0.0001,7.0000,9.0000,16.0000,14.0000,27.0000,16.0000
0.0005,7.0000,9.0000,16.0000,15.0000,25.0000,15.0000
0.0010,7.0000,9.0000,15.0000,14.0000,25.0000,16.0000
