ber,FHS_RAC,HT_EEAC
0.0000,7.8664,178.5442
0.0000,7.8633,169.6513
0.0001,7.8582,175.7320
0.0001,7.8609,168.6544
0.0005,7.8577,172.3581
0.0008,7.8643,176.6044
0.0010,7.8606,175.7583
