ber,FHS_RAC,HT_EEAC
0.0000,1941313.4788,9359925.3770
0.0000,1939669.0314,9169185.5487
0.0001,1935069.2006,9414506.1858
0.0001,1940916.1626,9248118.1604
0.0005,1937340.0490,9239185.5721
0.0008,1940056.7753,9220111.2039
0.0010,1938209.0904,9351107.5118
