ber,FHS_RAC,HT_EEAC
0.0000,99.5579,276.0890
0.0000,99.5621,272.4672
0.0001,99.5458,276.9126
0.0001,99.5484,273.7702
0.0005,99.5567,273.1501
0.0008,99.5483,273.6051
0.0010,99.5442,275.6717
