ber,FHS_RAC,HT_EEAC
0.0000,872.0000,3561.6000
0.0000,856.6000,3643.6000
0.0001,832.8000,3566.0000
0.0001,873.6000,3575.2000
0.0005,869.2000,3613.8000
0.0008,867.4000,3632.0000
0.0010,863.0000,3591.8000
