ber,FHS_RAC,HT_EEAC
0.0000,644.3746,166.9627
0.0000,645.2810,169.7497
0.0001,646.4865,166.2933
0.0001,644.7991,168.8056
0.0005,645.4627,169.2421
0.0008,645.0490,168.8297
0.0010,645.4342,167.2386
