ber,FHS_RAC,HT_EEAC
0.0000,7759.4765,29949.1335
0.0000,7748.5735,29459.0100
0.0001,7734.1447,30068.3790
0.0001,7754.3833,29622.2190
0.0005,7746.4060,29546.5830
0.0008,7751.3585,29617.7820
0.0010,7746.7705,29899.6680
