ber,FHS_RAC,HT_EEAC
0.0000,3162.2000,51277.8000
0.0000,3156.8000,50146.0000
0.0001,3149.8000,51535.2000
0.0001,3150.6000,50553.2000
0.0005,3139.8000,50359.4000
0.0008,3150.8000,50501.6000
0.0010,3144.4000,51147.4000
