BINARY_LENGTH,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
64,0.0000,10794.0000,0.0000,3918.0000,1603.0000,5988.0000,0.0000,0.0000,0.0000
96,0.0000,11175.0000,0.0000,4203.0000,1604.0000,6045.0000,0.0000,0.0000,0.0000
128,0.0000,10893.0000,0.0000,3974.0000,1624.0000,5979.0000,0.0000,0.0000,0.0000
160,0.0000,10961.0000,0.0000,3863.0000,1660.0000,6194.0000,0.0000,0.0000,0.0000
192,0.0000,11269.0000,0.0000,4285.0000,1691.0000,6089.0000,0.0000,0.0000,0.0000
256,0.0000,11101.0000,0.0000,3901.0000,1651.0000,5680.0000,0.0000,0.0000,0.0000
