BINARY_LENGTH,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
64,2096.0000,9373.0000,8302.0000,5987.0000,6334.0000,146360.0000,10041.0000,29004.0000,18211.0000
96,2088.0000,9251.0000,8278.0000,5908.0000,6337.0000,144097.0000,10041.0000,28660.0000,18249.0000
128,2104.0000,9251.0000,8306.0000,5930.0000,6309.0000,144973.0000,10041.0000,28856.0000,18102.0000
160,2111.0000,9183.0000,8426.0000,5936.0000,6369.0000,142508.0000,10041.0000,28726.0000,18241.0000
192,2070.0000,9351.0000,8344.0000,6141.0000,6332.0000,143967.0000,10043.0000,29058.0000,18199.0000
256,2099.0000,9255.0000,8356.0000,5875.0000,6336.0000,148282.0000,10043.0000,28874.0000,18228.0000
