BINARY_LENGTH,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
64,4407682.9566,6283884.8630,8780636.4075,5349092.2477,6810597.6615,45802517.2565,9947310.1910,10421740.6834,7501949.8343
96,5574500.5251,8195605.8375,11185490.7635,6841374.0423,7819201.7948,45789094.2748,12945794.0453,12838447.7329,9230155.3748
128,6680250.9755,10121271.8358,13612047.3099,8335141.9872,8814499.2025,47183915.1052,15945420.3253,15300220.3519,10905692.9290
160,7838763.7319,11968609.2831,16068295.2911,9792244.4560,9825364.7426,47533819.8428,18943699.5005,17715830.2157,12708621.0470
192,8897814.9261,14056315.9517,18428049.2209,11502202.7398,10836847.5981,49139815.2530,21941193.3229,20373542.8614,14398295.1078
256,11199878.7059,17866176.0851,23314771.1067,14360598.3550,12818168.8646,52292102.2027,27936966.4345,25060242.1302,17827651.6450
