BINARY_LENGTH,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
64,18.1753,34.0975,114.2242,24.8248,64.0496,357.1656,120.0507,89.3860,65.5948
96,18.1299,33.6644,146.1288,23.7798,64.1022,352.3124,152.0433,88.6898,65.6708
128,18.2582,33.6486,178.2100,24.0922,64.0870,354.0944,184.0577,89.1014,65.2996
160,18.3050,33.3766,210.6370,24.6906,64.3960,349.1444,216.0561,88.8125,65.7820
192,17.9957,34.0088,242.3304,24.3364,64.3892,352.1232,248.0723,89.5046,65.5412
256,18.2220,33.7066,306.4092,24.1164,64.2686,360.7164,312.0522,89.1287,65.6590
