BINARY_LENGTH,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
64,8741.2525,12592.2787,17539.2837,10732.0025,13614.5112,77555.6500,19876.5088,20930.9963,14990.6800
96,10908.6712,16359.6138,22348.6100,13646.8725,15620.4400,78539.5650,25867.4463,25645.7687,18460.0425
128,13143.8762,20193.2513,27199.2450,16649.6250,17617.0925,80918.0600,31859.7463,30638.0662,21791.6850
160,15354.0662,23947.0100,32154.2262,19601.0825,19664.0550,81862.8850,37851.0462,35425.9037,25389.2425
192,17430.4137,28080.9700,36902.9300,23052.5950,21661.6650,84494.9400,43840.6188,40578.5175,28752.5025
256,21896.5187,35615.4062,46589.7575,28499.5500,25643.8887,90331.0150,55821.3625,50198.6087,35681.3150
