TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,PBGVCT
1000,9.0000,9.0000,12.0000,10.0000,3.0000
1444,9.0000,9.0000,12.0000,11.0000,4.0000
1888,8.0000,9.0000,16.0000,11.0000,3.0000
2333,12.0000,13.0000,13.0000,12.0000,3.0000
2777,9.0000,13.0000,15.0000,12.0000,4.0000
3222,11.0000,13.0000,15.0000,12.0000,3.0000
3666,11.0000,11.0000,18.0000,12.0000,4.0000
4111,10.0000,13.0000,15.0000,13.0000,4.0000
4555,9.0000,13.0000,16.0000,13.0000,4.0000
5000,9.0000,11.0000,17.0000,13.0000,4.0000
