TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,PBGVCT
1000,6.0000,1.0000,3.0000,6.0000,2.0000
1444,5.0000,1.0000,3.0000,6.0000,2.0000
1888,4.0000,1.0000,3.0000,7.0000,3.0000
2333,7.0000,1.0000,4.0000,7.0000,3.0000
2777,6.0000,1.0000,4.0000,7.0000,3.0000
3222,7.0000,1.0000,4.0000,7.0000,3.0000
3666,8.0000,1.0000,4.0000,7.0000,4.0000
4111,7.0000,1.0000,4.0000,7.0000,4.0000
4555,6.0000,1.0000,4.0000,8.0000,4.0000
5000,6.0000,1.0000,4.0000,8.0000,4.0000
