TOTAL_TAGS,BGCT,BGCT_Random
1000,34.6026,34.6912
2000,22.6015,20.7654
3000,18.0483,17.1477
4000,16.8341,16.1120
5000,16.1385,15.1502
6000,16.5170,16.0644
7000,16.6168,15.9922
8000,17.0550,16.3578
9000,17.3765,17.2323
10000,18.0174,17.8840
