TOTAL_TAGS,BGCT,BGCT_Random
1000,3.0166,3.2678
2000,3.0430,3.1188
3000,3.0541,3.0717
4000,3.0793,3.0965
5000,3.0946,3.0959
6000,3.1185,3.1410
7000,3.1329,3.1529
8000,3.1499,3.1516
9000,3.1622,3.1871
10000,3.1785,3.1908
