TOTAL_TAGS,BGCT,BGCT_Random
1000,1672.6810,1730.9590
2000,2559.6980,2598.3415
3000,3382.5683,3482.7675
4000,4320.1395,4457.9412
5000,5261.5008,5421.7357
6000,6342.4335,6576.6578
7000,7394.6645,7639.4755
8000,8524.1367,8808.5710
9000,9654.7010,10037.9480
10000,10887.7807,11374.0385
