TOTAL_TAGS,BGCT,BGCT_Random
1000,2.0474,1.7568
2000,3.4113,3.3044
3000,4.5667,4.3986
4000,5.0582,4.8678
5000,5.4034,5.4343
6000,5.3000,5.0267
7000,5.2884,5.0840
8000,5.1423,5.1555
9000,5.0462,4.7745
10000,4.8336,4.6709
