TOTAL_TAGS,BGCT,BGCT_Random
1000,217.1028,227.8108
2000,221.1918,229.5553
3000,222.2631,229.4436
4000,224.1434,231.4271
5000,225.3223,232.9692
6000,227.1292,234.6480
7000,228.3154,235.8045
8000,229.6431,237.4135
9000,230.7102,238.2465
10000,232.0082,240.3858
