TOTAL_TAGS,BGCT,BGCT_Random
1000,488.6000,570.4000
2000,586.4000,605.6000
3000,657.2000,683.2000
4000,791.0000,821.8000
5000,925.8000,920.8000
6000,1133.6000,1199.6000
7000,1324.4000,1383.0000
8000,1556.4000,1553.4000
9000,1785.2000,1896.8000
10000,2069.2000,2142.8000
