TOTAL_TAGS,BGCT,BGCT_Random
1000,92101.2016,94515.0653
2000,274612.7108,278614.5627
3000,539056.6049,550334.0020
4000,900591.6923,928856.7929
5000,1360147.9560,1398480.3212
6000,1961058.3558,2028432.6683
7000,2654143.6691,2740012.3464
8000,3479413.3126,3598319.4473
9000,4423366.5809,4612328.5333
10000,5548446.1221,5763856.3923
