TOTAL_TAGS,BGCT,BGCT_Random
1000,0.0000,0.0000
2000,0.0000,0.0000
3000,0.0000,0.0000
4000,0.0000,0.0000
5000,0.0000,0.0000
6000,0.0000,0.0000
7000,0.0000,0.0000
8000,0.0000,0.0000
9000,0.0000,0.0000
10000,0.0000,0.0000
