TOTAL_TAGS,BGCT,BGCT_Random
1000,597.9120,577.7417
2000,781.3699,769.7627
3000,886.9606,861.4459
4000,925.9219,897.4243
5000,950.3554,922.2466
6000,946.1608,912.3536
7000,946.6848,916.3692
8000,938.5637,908.2464
9000,932.3160,896.6380
10000,918.4788,879.2580
