d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,55.9725,,,
4,,,,,,39.7638,,
6,,,,,,,37.9357,
8,,,,,,,,16.1765
10,38.8772,,,,,,,
12,,58.8798,,,,,,
14,,,29.1805,,,,,
16,,,,11.8927,,,,
