d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,6.5915,,,
4,,,,,,3.6410,,
6,,,,,,,2.6335,
8,,,,,,,,2.0663
10,2.0408,,,,,,,
12,,2.0762,,,,,,
14,,,1.4490,,,,,
16,,,,1.1315,,,,
