d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,9.0000,,,
4,,,,,,5.0000,,
6,,,,,,,4.0000,
8,,,,,,,,4.0000
10,4.0000,,,,,,,
12,,4.0000,,,,,,
14,,,4.0000,,,,,
16,,,,4.0000,,,,
