d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,0.8608,,,
4,,,,,,1.4647,,
6,,,,,,,1.7613,
8,,,,,,,,5.3262
10,2.0222,,,,,,,
12,,1.3280,,,,,,
14,,,3.0936,,,,,
16,,,,10.6101,,,,
