d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,543.1235,,,
4,,,,,,688.4815,,
6,,,,,,,684.2808,
8,,,,,,,,940.6439
10,354.2194,,,,,,,
12,,116.4433,,,,,,
14,,,84.2223,,,,,
16,,,,79.1461,,,,
