d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,0.4626,,,
4,,,,,,0.5943,,
6,,,,,,,0.6379,
8,,,,,,,,0.8419
10,0.6691,,,,,,,
12,,0.5705,,,,,,
14,,,0.7557,,,,,
16,,,,0.9139,,,,
