d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,702.5425,,,
4,,,,,,392.8715,,
6,,,,,,,297.1820,
8,,,,,,,,244.6478
10,451.4020,,,,,,,
12,,1289.9333,,,,,,
14,,,1852.9350,,,,,
16,,,,2002.7810,,,,
