d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,4647.0000,,,
4,,,,,,2731.0000,,
6,,,,,,,2271.0000,
8,,,,,,,,751.0000
10,1978.0000,,,,,,,
12,,3012.0000,,,,,,
14,,,1293.0000,,,,,
16,,,,377.0000,,,,
