d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,7364.8075,,,
4,,,,,,5809.8875,,
6,,,,,,,5845.5538,
8,,,,,,,,4252.4062
10,11292.4375,,,,,,,
12,,34351.4737,,,,,,
14,,,47493.3400,,,,,
16,,,,50539.4525,,,,
