d_target,PBGVCT(d_target=10),PBGVCT(d_target=12),PBGVCT(d_target=14),PBGVCT(d_target=16),PBGVCT(d_target=2),PBGVCT(d_target=4),PBGVCT(d_target=6),PBGVCT(d_target=8)
2,,,,,2589.3457,,,
4,,,,,,1684.8418,,
6,,,,,,,1482.4054,
8,,,,,,,,1043.9481
10,2343.0658,,,,,,,
12,,6486.0519,,,,,,
14,,,8688.6480,,,,,
16,,,,9154.6493,,,,
