d_max,DL-PCT-Final(d_max=10),DL-PCT-Final(d_max=12),DL-PCT-Final(d_max=2),DL-PCT-Final(d_max=4),DL-PCT-Final(d_max=6),DL-PCT-Final(d_max=8)
2,,,1227.7207,,,
4,,,,692.5758,,
6,,,,,516.8577,
8,,,,,,416.6450
10,615.7363,,,,,
12,,1390.5377,,,,
