d_max,DL-PCT-Final(d_max=10),DL-PCT-Final(d_max=12),DL-PCT-Final(d_max=2),DL-PCT-Final(d_max=4),DL-PCT-Final(d_max=6),DL-PCT-Final(d_max=8)
2,,,6.5830,,,
4,,,,3.6350,,
6,,,,,2.6267,
8,,,,,,2.0580
10,1.9827,,,,,
12,,1.6268,,,,
