d_max,DL-PCT-Final(d_max=10),DL-PCT-Final(d_max=12),DL-PCT-Final(d_max=2),DL-PCT-Final(d_max=4),DL-PCT-Final(d_max=6),DL-PCT-Final(d_max=8)
2,,,3598.2461,,,
4,,,,2224.0430,,
6,,,,,1858.4663,
8,,,,,,1347.6174
10,2594.9658,,,,,
12,,6371.9039,,,,
