d_max,DL-PCT-Final(d_max=10),DL-PCT-Final(d_max=12),DL-PCT-Final(d_max=2),DL-PCT-Final(d_max=4),DL-PCT-Final(d_max=6),DL-PCT-Final(d_max=8)
2,,,4615.6667,,,
4,,,,2704.3333,,
6,,,,,2245.6667,
8,,,,,,744.3333
10,1853.6667,,,,,
12,,2109.0000,,,,
