d_max,DL-PCT-Final(d_max=10),DL-PCT-Final(d_max=12),DL-PCT-Final(d_max=2),DL-PCT-Final(d_max=4),DL-PCT-Final(d_max=6),DL-PCT-Final(d_max=8)
2,,,501.2123,,,
4,,,,653.6685,,
6,,,,,657.8128,
8,,,,,,922.4129
10,351.5216,,,,,
12,,121.1147,,,,
