d_max,DL-PCT-Final(d_max=10),DL-PCT-Final(d_max=12),DL-PCT-Final(d_max=2),DL-PCT-Final(d_max=4),DL-PCT-Final(d_max=6),DL-PCT-Final(d_max=8)
2,,,0.4643,,,
4,,,,0.5966,,
6,,,,,0.6404,
8,,,,,,0.8431
10,0.6833,,,,,
12,,0.6548,,,,
