d_max,DL-PCT-Final(d_max=10),DL-PCT-Final(d_max=12),DL-PCT-Final(d_max=2),DL-PCT-Final(d_max=4),DL-PCT-Final(d_max=6),DL-PCT-Final(d_max=8)
2,,,0.8666,,,
4,,,,1.4791,,
6,,,,,1.7813,
8,,,,,,5.3769
10,2.1580,,,,,
12,,1.8967,,,,
