TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,1081.0000,0.0000,210.0000,0.0000,0.0000,0.0000,0.0000
2000,2333.0000,0.0000,372.0000,0.0000,0.0000,0.0000,0.0000
3000,3209.0000,0.0000,763.0000,0.0000,0.0000,0.0000,0.0000
4000,4052.0000,0.0000,1210.0000,0.0000,0.0000,0.0000,0.0000
5000,5062.0000,0.0000,1753.0000,0.0000,0.0000,0.0000,0.0000
6000,6254.0000,0.0000,2362.0000,0.0000,0.0000,0.0000,0.0000
7000,7368.0000,0.0000,2770.0000,0.0000,0.0000,0.0000,0.0000
8000,8304.0000,0.0000,3543.0000,0.0000,0.0000,0.0000,0.0000
9000,9794.0000,0.0000,4060.0000,0.0000,0.0000,0.0000,0.0000
10000,11037.0000,0.0000,4140.0000,0.0000,0.0000,0.0000,0.0000
