TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,4.0290,3.8540,4.4860,8.3210,13.2470,7.9150,2.0250
2000,4.4055,3.7850,4.8430,9.3085,14.3775,8.3995,2.0340
3000,4.5703,3.8113,5.1043,9.8693,14.8997,8.6993,2.0520
4000,4.7020,3.8085,5.1645,10.2730,15.2658,8.9123,2.0728
5000,4.8152,3.7720,5.1392,10.6108,15.6512,9.0738,2.0876
6000,4.8980,3.7450,5.1233,10.8863,15.8803,9.2165,2.1167
7000,4.9877,3.7880,5.1486,11.1071,16.0727,9.2934,2.1409
8000,5.0453,3.7832,5.2451,11.3038,16.3272,9.4083,2.1451
9000,5.1062,3.7947,5.2838,11.4743,16.4640,9.4811,2.1614
10000,5.1701,3.7880,5.3620,11.6105,16.6181,9.5628,2.1844
