id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,5.3771,1.1146,1.1962,1.7286,1.5857,0.0995,0.9919,0.3443,0.5513
random,5.3631,1.1196,1.2041,1.6885,1.5940,0.0988,0.9919,0.3466,0.5500
sequential,15.8730,0.8761,1.1027,1.7163,2.9976,0.0985,0.9938,0.4994,1.4975
