id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,1077283.3104,1974706.7971,3276907.4674,1741940.4177,2920362.3786,9189778.3726,3598011.6404,2294851.4691,1640972.7985
random,1369997.9046,2001995.4630,2797309.4852,1750953.7925,1940640.3538,9245501.2110,3226201.0890,3208445.1552,2292548.2278
sequential,371755.3865,2342602.8995,3773662.0309,1744130.3499,2715801.3240,9309486.0205,3870642.7315,2673072.3730,918102.1720
