id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,1189.2292,636.7422,382.0556,719.3978,428.4994,169.9096,347.9746,545.0745,761.8871
random,947.4439,626.1241,447.0419,712.5464,645.3867,168.5280,388.1237,390.6326,545.9629
sequential,3468.8708,534.2596,332.3310,717.2227,460.7664,168.0899,323.2936,0.0000,0.0000
