id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,125.8977,390.8818,73.9946,144.0659,51.5560,272.7520,395.5186,110.6427,112.1023
random,225.4183,852.2515,140.3794,144.0538,99.5540,274.0128,857.9268,206.6204,208.1178
sequential,37.9936,56.9776,25.8229,144.0211,16.6844,274.5485,59.3488,41.0000,41.0000
