id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,932.8000,4485.8000,4180.0000,2893.2000,3153.2000,50235.0000,5041.0000,14524.4000,9068.8000
random,933.2000,4466.2000,4152.8000,2962.6000,3137.0000,50629.0000,5041.0000,14428.0000,9091.6000
sequential,315.0000,5707.0000,4534.4000,2914.0000,1668.0000,50796.4000,5031.0000,10012.0000,3339.0000
