id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,0.0000,5031.4000,0.0000,1754.8000,869.4000,3436.2000,0.0000,0.0000,0.0000
random,0.0000,5039.2000,0.0000,1783.2000,874.4000,3628.2000,0.0000,0.0000,0.0000
sequential,0.0000,3.0000,0.0000,1772.8000,1.0000,3633.0000,2.0000,0.0000,0.0000
