id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,4208.0510,7852.5210,13087.1550,6950.4690,11668.7877,29429.7300,14368.8663,9173.4990,6562.6675
random,5277.8687,7985.7753,11184.7522,7017.5995,7747.3450,29674.7850,12882.4913,12799.8162,9158.2645
sequential,1441.3912,9358.7463,15045.4405,6971.6150,10851.4850,29752.9905,15465.8175,5344.5387,1835.5275
