id_distribution,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,4.0000,1.0000,4.0000,7.0000,12.0000,7.0000
random,3.0000,1.0000,4.0000,8.0000,12.0000,7.0000
sequential,3.0000,1.0000,4.0000,7.0000,,
