id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,25.2140,74.9051,186.5118,25.5086,149.2910,258.1533,198.5320,87.0471,63.6907
random,16.2470,31.6985,146.2006,25.7884,62.5653,260.7317,150.9680,86.6562,63.8383
sequential,12.5302,134.7880,224.5405,25.5570,156.4788,261.4894,233.3196,70.0498,23.5922
