id_distribution,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
prefixed,3.0954,4.8076,3.7971,5.1440,8.3631,180.7410,10.6149,15.6427,9.0512
random,3.0954,4.8068,3.7812,5.1773,7.8613,175.0176,10.6262,15.6204,9.0589
sequential,3.0000,4.9968,3.9908,5.1539,7.8176,173.3261,10.8144,,
