TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,1034.0400,1862.8812,2908.6813,1332.3395,2683.9625,2564.1900,3040.1050,995.1212,701.0625
2000,1216.5213,1963.3950,5808.0550,2712.6335,4348.6663,7009.0800,6141.3413,2038.2462,701.5812
3000,1184.4637,1581.6025,9011.6770,4225.4045,7571.7675,12505.3890,9260.6987,3131.8288,2199.6900
4000,1575.2525,2121.1887,11506.0530,5647.4235,10732.9900,19995.0195,12346.6038,4174.4963,2932.1000
5000,1441.3912,9358.7463,15026.3998,7000.0525,10851.4850,29597.6955,15465.8175,5344.5387,1835.5275
